TIMESTAMP,CITY,ZIP,EGRIDREGION,TEMPERATUREF,HUMIDITY,DATA_AVAILABILITY_WEATHER,WETBULBTEMPERATUREF,COAL,HYDRO,NATURALGAS,NUCLEAR,OTHER,PETROLEUM,SOLAR,WIND,DATA_AVAILABILITY_ENERGY,ONSITEWUEFIXEDAPPROACH,ONSITEWUEFIXEDCOLDWATER,OFFSITEWUE
2019-01-01 00:00:00,Austin,78704,ERCT,42,76,1,37.9783997397202,51725,3010,36030,17927,1086,0,205,33383,1,1.34616023459296,0,1.6258769164237
2019-01-01 01:00:00,Austin,78704,ERCT,37,96,1,36.1689491942476,51985,3033,36311,17943,1086,0,0,34897,1,1.31559560641124,0,1.61336789783484
2019-01-01 02:00:00,Austin,78704,ERCT,37,96,1,36.1689491942476,49876,2905,34719,17951,1108,0,0,35783,1,1.31559560641124,0,1.59042859451181
2019-01-01 03:00:00,Austin,78704,ERCT,36,97,1,35.3243324681507,46998,2743,32982,17957,1091,0,0,37979,1,1.30090360505411,0,1.54634834347048
2019-01-01 04:00:00,Austin,78704,ERCT,41,89,1,39.0309039122977,44240,2381,30819,17961,1083,0,0,40363,1,1.36336766322961,0,1.47000767280247
2019-01-01 05:00:00,Austin,78704,ERCT,41,79,1,37.4792214111264,43997,1834,28689,17961,1073,0,0,40655,1,1.33785229234839,0,1.39052123181009
2019-01-01 06:00:00,Austin,78704,ERCT,40,83,1,37.1225258842575,42527,1787,27136,17962,1088,0,0,40604,1,1.33185784256378,0,1.38563871430315
2019-01-01 07:00:00,Austin,78704,ERCT,41,82,1,37.9364361968001,39779,1800,25800,17964,1091,0,0,40873,1,1.34546546321785,0,1.38177167005742
2019-01-01 08:00:00,Austin,78704,ERCT,41,82,1,37.9364361968001,39169,1611,25544,17966,1091,0,0,40626,1,1.34546546321785,0,1.35164204369599
2019-01-01 09:00:00,Austin,78704,ERCT,42,82,1,38.9017692747848,39035,1568,26121,17971,1099,0,0,39127,1,1.36127904410104,0,1.35745128521225
2019-01-01 10:00:00,Austin,78704,ERCT,44,82,1,40.8324304967153,39436,1558,26808,17974,1091,0,0,37466,1,1.39184603657432,0,1.37230723138668
2019-01-01 11:00:00,Austin,78704,ERCT,45,80,1,41.4711721885163,40743,1591,27719,17982,1106,0,0,36027,1,1.40164767917264,0,1.39412821967276
2019-01-01 12:00:00,Austin,78704,ERCT,46,76,1,41.7750653000158,43391,1873,29816,18000,1122,0,0,33278,1,1.40625667811191,0,1.47024471289614
2019-01-01 13:00:00,Austin,78704,ERCT,46,76,1,41.7750653000158,45759,2369,32170,18015,1129,0,0,31185,1,1.40625667811191,0,1.56849361923645
2019-01-01 14:00:00,Austin,78704,ERCT,45,76,1,40.8259018401636,47662,2434,34605,18024,1124,0,3,28774,1,1.39174505405558,0,1.59676129114955
2019-01-01 15:00:00,Austin,78704,ERCT,45,76,1,40.8259018401636,50593,2474,36878,18039,1120,0,71,25851,1,1.39174505405558,0,1.6281555552264
2019-01-01 16:00:00,Austin,78704,ERCT,44,79,1,40.3514583578037,54779,2239,39373,18052,1110,0,235,22197,1,1.38436329584637,0,1.62428264666449
2019-01-01 17:00:00,Austin,78704,ERCT,44,79,1,40.3514583578037,58669,2231,41823,18059,1107,0,365,17631,1,1.38436329584637,0,1.66547530471459
2019-01-01 18:00:00,Austin,78704,ERCT,43,80,1,39.5510035432078,61128,2184,43175,18072,1114,16,457,14468,1,1.37171571497257,0,1.68908682634731
